variant,label,step,mean_reward,std_reward_across_seeds,n_seeds,n_points
full_o2o_iql,Full O2O-IQL,169,-0.05377531183393279,0.0,1,1
full_o2o_iql,Full O2O-IQL,217,-0.08849500131285917,0.08849500131285917,2,2
full_o2o_iql,Full O2O-IQL,288,-0.2908869876521523,0.21510244219100824,3,3
full_o2o_iql,Full O2O-IQL,356,-0.570175758845619,0.48108535260600216,3,3
full_o2o_iql,Full O2O-IQL,489,-1.1712541898874331,0.9658573895361557,3,3
full_o2o_iql,Full O2O-IQL,533,-1.326525254969904,1.1450100088702484,3,3
full_o2o_iql,Full O2O-IQL,667,-1.7655361669851295,1.7417792726296424,3,3
full_o2o_iql,Full O2O-IQL,736,-1.597060305453338,1.4986867077767592,3,3
full_o2o_iql,Full O2O-IQL,856,-1.3901077590961142,1.0359438526808333,3,3
full_o2o_iql,Full O2O-IQL,914,-1.6187267235906997,1.268678681807835,3,3
full_o2o_iql,Full O2O-IQL,1116,-2.3849002665781587,2.10935928188253,3,3
full_o2o_iql,Full O2O-IQL,1151,-2.4872126891848523,2.2691779127593157,3,3
full_o2o_iql,Full O2O-IQL,1233,-2.7195343282755338,2.6529317909310226,3,3
full_o2o_iql,Full O2O-IQL,1366,-3.528728870874159,3.8884503183423114,3,3
full_o2o_iql,Full O2O-IQL,1389,-3.7375580445349033,4.062462469494315,3,3
full_o2o_iql,Full O2O-IQL,1718,-7.411048032943236,5.986867683108281,3,3
full_o2o_iql,Full O2O-IQL,1727,-7.498588338974241,6.050526453668755,3,3
full_o2o_iql,Full O2O-IQL,1850,-7.542069938087394,5.318892753217304,3,3
full_o2o_iql,Full O2O-IQL,1923,-7.462669904914855,4.944909270194287,3,3
full_o2o_iql,Full O2O-IQL,2004,-7.306114372004863,4.6046499633977955,3,3
full_o2o_iql,Full O2O-IQL,2166,-6.820548918915893,3.7479887464856696,3,3
full_o2o_iql,Full O2O-IQL,2173,-6.81691029319482,3.7356485162418624,3,3
full_o2o_iql,Full O2O-IQL,2196,-6.8169722742278145,3.6817639978657253,3,3
full_o2o_iql,Full O2O-IQL,2446,-7.0870920087129265,3.238530747406288,3,3
full_o2o_iql,Full O2O-IQL,2496,-7.246844955559458,3.2961066256362233,3,3
full_o2o_iql,Full O2O-IQL,2524,-7.372471606306981,3.2804196912702146,3,3
full_o2o_iql,Full O2O-IQL,2771,-7.7313934812532175,2.869697266612956,3,3
full_o2o_iql,Full O2O-IQL,2822,-7.873814826540378,2.8773016472011026,3,3
full_o2o_iql,Full O2O-IQL,2937,-8.26758052426924,2.9289397075498633,3,3
full_o2o_iql,Full O2O-IQL,3096,-8.438055979295726,3.4725775250433744,3,3
full_o2o_iql,Full O2O-IQL,3184,-8.708532806794112,3.5728627782346067,3,3
full_o2o_iql,Full O2O-IQL,3277,-8.909356291884016,3.5770883853038478,3,3
full_o2o_iql,Full O2O-IQL,3438,-9.039411900564469,3.6849157625885183,3,3
full_o2o_iql,Full O2O-IQL,3545,-9.272025187713755,3.724248362017483,3,3
full_o2o_iql,Full O2O-IQL,3601,-9.394174490026984,3.74759179347636,3,3
full_o2o_iql,Full O2O-IQL,3827,-9.501091957446397,3.317354447231332,3,3
full_o2o_iql,Full O2O-IQL,3910,-9.479896828341912,3.2095453493217625,3,3
full_o2o_iql,Full O2O-IQL,3924,-9.438882869851582,3.218287238174504,3,3
full_o2o_iql,Full O2O-IQL,4019,-9.30209266791112,3.478930647641188,3,3
full_o2o_iql,Full O2O-IQL,4055,-9.314159797018599,3.532017081698258,3,3
full_o2o_iql,Full O2O-IQL,4346,-9.689717065858213,3.7678981256536965,3,3
full_o2o_iql,Full O2O-IQL,4393,-9.748010293726107,3.8076744988545004,3,3
full_o2o_iql,Full O2O-IQL,4455,-9.612685191417086,3.5600402380718705,3,3
full_o2o_iql,Full O2O-IQL,4531,-9.344698211098656,3.332825183245364,3,3
full_o2o_iql,Full O2O-IQL,4590,-9.182332768893518,3.224943440608673,3,3
full_o2o_iql,Full O2O-IQL,4596,-9.171617167385733,3.209476780525832,3,3
full_o2o_iql,Full O2O-IQL,4700,-9.106804929716617,2.878576849280568,3,3
full_o2o_iql,Full O2O-IQL,4884,-9.377103638310727,2.8727708358649124,3,3
full_o2o_iql,Full O2O-IQL,4984,-9.739375785858645,2.659832709104778,3,3
full_o2o_iql,Full O2O-IQL,5120,-10.077300108824327,2.429908891021128,3,3
full_o2o_iql,Full O2O-IQL,5243,-10.087915341526868,1.8283833264787994,3,3
full_o2o_iql,Full O2O-IQL,5378,-10.251598007024567,1.4066179202476283,3,3
full_o2o_iql,Full O2O-IQL,5460,-10.146644034719344,1.3039002028420676,3,3
full_o2o_iql,Full O2O-IQL,5576,-9.816943834174863,1.0911169478783889,3,3
full_o2o_iql,Full O2O-IQL,5605,-9.743396391782479,1.0504875288447175,3,3
full_o2o_iql,Full O2O-IQL,5701,-9.4152773277559,0.9864706720946345,3,3
full_o2o_iql,Full O2O-IQL,5702,-9.413390613373885,0.9880130702881031,3,3
full_o2o_iql,Full O2O-IQL,5716,-9.393945016949466,1.0063061843984866,3,3
full_o2o_iql,Full O2O-IQL,5917,-9.364763422916218,1.0447540509102358,3,3
full_o2o_iql,Full O2O-IQL,5920,-9.365746359672306,1.0439908607614843,3,3
full_o2o_iql,Full O2O-IQL,5935,-9.360754111952126,1.026479992723575,3,3
full_o2o_iql,Full O2O-IQL,6083,-9.474818381744646,0.8076354477012049,3,3
full_o2o_iql,Full O2O-IQL,6115,-9.529349843675485,0.8059303676652667,3,3
full_o2o_iql,Full O2O-IQL,6345,-9.992080534090533,0.7440872065081522,3,3
full_o2o_iql,Full O2O-IQL,6488,-10.138561196799708,0.6750610455721135,3,3
full_o2o_iql,Full O2O-IQL,6492,-10.137592757275653,0.6677921030742398,3,3
full_o2o_iql,Full O2O-IQL,6702,-10.001937257323664,0.44935647685442587,3,3
full_o2o_iql,Full O2O-IQL,6782,-9.98072362369061,0.446502437132723,3,3
full_o2o_iql,Full O2O-IQL,6819,-9.71847968072943,0.6156919617077694,3,3
full_o2o_iql,Full O2O-IQL,6898,-9.129798868804185,1.4006957948025056,3,3
