variant,label,step,mean_reward,std_reward_across_seeds,n_seeds,n_points
full_o2o_iql,Full O2O-IQL,169,-0.05377531183393279,0.0,1,1
full_o2o_iql,Full O2O-IQL,217,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,288,-0.513415896867889,0.0,1,1
full_o2o_iql,Full O2O-IQL,356,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,489,-1.696637855724407,0.0,1,1
full_o2o_iql,Full O2O-IQL,533,-0.6566328284149567,0.0,1,1
full_o2o_iql,Full O2O-IQL,667,-7.907395655182069,0.0,1,1
full_o2o_iql,Full O2O-IQL,736,-0.5754544142574651,0.0,1,1
full_o2o_iql,Full O2O-IQL,856,-0.01514484813918242,0.0,1,1
full_o2o_iql,Full O2O-IQL,914,-0.948165929609251,0.0,1,1
full_o2o_iql,Full O2O-IQL,1116,-3.4302731232053887,0.0,1,1
full_o2o_iql,Full O2O-IQL,1151,-0.43939435452952125,0.0,1,1
full_o2o_iql,Full O2O-IQL,1233,-17.288609417634756,0.0,1,1
full_o2o_iql,Full O2O-IQL,1366,-0.36093665379607104,0.0,1,1
full_o2o_iql,Full O2O-IQL,1389,-0.06921413131636694,0.0,1,1
full_o2o_iql,Full O2O-IQL,1718,-14.217328702042607,0.0,1,1
full_o2o_iql,Full O2O-IQL,1727,-54.23260580318049,0.0,1,1
full_o2o_iql,Full O2O-IQL,1850,-24.814351530403606,0.0,1,1
full_o2o_iql,Full O2O-IQL,1923,-5.127000536252185,0.0,1,1
full_o2o_iql,Full O2O-IQL,2004,-1.4210864699417554,0.0,1,1
full_o2o_iql,Full O2O-IQL,2166,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,2173,-0.8109907361360856,0.0,1,1
full_o2o_iql,Full O2O-IQL,2196,-14.358980323561337,0.0,1,1
full_o2o_iql,Full O2O-IQL,2446,-1.4831630203667177,0.0,1,1
full_o2o_iql,Full O2O-IQL,2496,-4.851064162940513,0.0,1,1
full_o2o_iql,Full O2O-IQL,2524,-24.925729009274704,0.0,1,1
full_o2o_iql,Full O2O-IQL,2771,-15.669262405945055,0.0,1,1
full_o2o_iql,Full O2O-IQL,2822,-3.232753990698863,0.0,1,1
full_o2o_iql,Full O2O-IQL,2937,-25.0782948991964,0.0,1,1
full_o2o_iql,Full O2O-IQL,3096,-0.08027824667922819,0.0,1,1
full_o2o_iql,Full O2O-IQL,3184,-35.04342025382926,0.0,1,1
