variant,label,step,mean_reward,std_reward_across_seeds,n_seeds,n_points
full_o2o_iql,Full O2O-IQL,169,-9.088027699934642,0.0,1,1
full_o2o_iql,Full O2O-IQL,217,-24.562867079912657,24.562867079912657,2,2
full_o2o_iql,Full O2O-IQL,288,-85.40398442101078,62.50733899806435,3,3
full_o2o_iql,Full O2O-IQL,356,-189.50622175079857,165.6119320702656,3,3
full_o2o_iql,Full O2O-IQL,489,-402.82152466573467,367.9983952791233,3,3
full_o2o_iql,Full O2O-IQL,533,-458.5085817211352,441.52889298648694,3,3
full_o2o_iql,Full O2O-IQL,667,-627.776838906807,671.8240201484857,3,3
full_o2o_iql,Full O2O-IQL,736,-564.8223048999747,580.6205423497038,3,3
full_o2o_iql,Full O2O-IQL,856,-490.7762479761373,403.9792225500451,3,3
full_o2o_iql,Full O2O-IQL,914,-578.6144088563542,491.15807989879755,3,3
full_o2o_iql,Full O2O-IQL,1116,-869.4188737410122,809.058936148408,3,3
full_o2o_iql,Full O2O-IQL,1151,-907.757784481847,869.8080880732956,3,3
full_o2o_iql,Full O2O-IQL,1233,-996.020510361889,1014.4744060932143,3,3
full_o2o_iql,Full O2O-IQL,1366,-1415.9002887865156,1640.5807451185265,3,3
full_o2o_iql,Full O2O-IQL,1389,-1521.6255166322555,1729.3320580201814,3,3
full_o2o_iql,Full O2O-IQL,1718,-3259.615566748141,2821.963503801693,3,3
full_o2o_iql,Full O2O-IQL,1727,-3301.7400634712794,2856.7595802030237,3,3
full_o2o_iql,Full O2O-IQL,1850,-3302.685670746026,2541.7565245414216,3,3
full_o2o_iql,Full O2O-IQL,1923,-3232.417767665993,2390.271351516891,3,3
full_o2o_iql,Full O2O-IQL,2004,-3142.4964231372383,2237.383877448243,3,3
full_o2o_iql,Full O2O-IQL,2166,-2894.304190838686,1857.7628208414317,3,3
full_o2o_iql,Full O2O-IQL,2173,-2891.165964310087,1851.768573606479,3,3
full_o2o_iql,Full O2O-IQL,2196,-2884.8556273053073,1827.552081301865,3,3
full_o2o_iql,Full O2O-IQL,2446,-2899.3113766436127,1595.1149054714572,3,3
full_o2o_iql,Full O2O-IQL,2496,-2940.7563164950493,1600.1902022523302,3,3
full_o2o_iql,Full O2O-IQL,2524,-2981.254999585312,1580.428082969503,3,3
full_o2o_iql,Full O2O-IQL,2771,-3092.4852578713612,1355.067572569192,3,3
full_o2o_iql,Full O2O-IQL,2822,-3153.12853400173,1358.9536308923944,3,3
full_o2o_iql,Full O2O-IQL,2937,-3326.641529819745,1377.0802306057333,3,3
full_o2o_iql,Full O2O-IQL,3096,-3406.5373144604127,1593.601197490717,3,3
full_o2o_iql,Full O2O-IQL,3184,-3526.0138779930408,1630.0052535662192,3,3
full_o2o_iql,Full O2O-IQL,3277,-3618.172834802614,1626.5158636022259,3,3
full_o2o_iql,Full O2O-IQL,3438,-3682.3687478520224,1667.43227074092,3,3
full_o2o_iql,Full O2O-IQL,3545,-3784.883409763399,1679.0246128230262,3,3
full_o2o_iql,Full O2O-IQL,3601,-3831.338999080714,1692.5130835674595,3,3
full_o2o_iql,Full O2O-IQL,3827,-3845.3360687121312,1507.7809304439957,3,3
full_o2o_iql,Full O2O-IQL,3910,-3826.2222055107727,1459.0399027456908,3,3
full_o2o_iql,Full O2O-IQL,3924,-3809.0392764665253,1460.8853990380392,3,3
full_o2o_iql,Full O2O-IQL,4019,-3765.0670868928596,1576.4718342760327,3,3
full_o2o_iql,Full O2O-IQL,4055,-3771.551179707245,1603.6655064005204,3,3
full_o2o_iql,Full O2O-IQL,4346,-3936.6743858424834,1745.1884861613482,3,3
full_o2o_iql,Full O2O-IQL,4393,-3959.494323514174,1770.804082160951,3,3
full_o2o_iql,Full O2O-IQL,4455,-3894.515190842638,1670.1609671409462,3,3
full_o2o_iql,Full O2O-IQL,4531,-3774.6054835730124,1575.1107424730262,3,3
full_o2o_iql,Full O2O-IQL,4590,-3700.860343604542,1529.427308623465,3,3
full_o2o_iql,Full O2O-IQL,4596,-3695.4609143715875,1523.2490992633932,3,3
full_o2o_iql,Full O2O-IQL,4700,-3660.4788662263873,1379.9568162003995,3,3
full_o2o_iql,Full O2O-IQL,4884,-3762.3666735207153,1370.6638308505128,3,3
full_o2o_iql,Full O2O-IQL,4984,-3927.4512818752096,1267.0458617652093,3,3
full_o2o_iql,Full O2O-IQL,5120,-4098.826264445494,1158.363250792776,3,3
full_o2o_iql,Full O2O-IQL,5243,-4128.78446681822,896.1986674388502,3,3
full_o2o_iql,Full O2O-IQL,5378,-4224.716888885668,721.3512467894363,3,3
full_o2o_iql,Full O2O-IQL,5460,-4179.162997918554,667.3792250062871,3,3
full_o2o_iql,Full O2O-IQL,5576,-4033.849517151197,580.2868991671702,3,3
full_o2o_iql,Full O2O-IQL,5605,-4001.236936571715,563.6694792880456,3,3
full_o2o_iql,Full O2O-IQL,5701,-3862.1567436815603,523.2342324311692,3,3
full_o2o_iql,Full O2O-IQL,5702,-3861.3543809859657,523.7323197310039,3,3
full_o2o_iql,Full O2O-IQL,5716,-3853.071322671704,528.2343604377746,3,3
full_o2o_iql,Full O2O-IQL,5917,-3815.765280017839,551.9198680206073,3,3
full_o2o_iql,Full O2O-IQL,5920,-3815.953832253417,551.8106498756968,3,3
full_o2o_iql,Full O2O-IQL,5935,-3812.6824400146857,545.3104819880609,3,3
full_o2o_iql,Full O2O-IQL,6083,-3847.3950052883915,435.89663966085055,3,3
full_o2o_iql,Full O2O-IQL,6115,-3867.6611988684235,431.8581960017372,3,3
full_o2o_iql,Full O2O-IQL,6345,-4053.421104830874,376.40798168214144,3,3
full_o2o_iql,Full O2O-IQL,6488,-4110.9179867859675,362.6219197019249,3,3
full_o2o_iql,Full O2O-IQL,6492,-4110.579191458696,359.6128607243574,3,3
full_o2o_iql,Full O2O-IQL,6702,-4058.245070134737,237.82157450141736,3,3
full_o2o_iql,Full O2O-IQL,6782,-4050.9431848790227,192.6674310362983,3,3
full_o2o_iql,Full O2O-IQL,6819,-3918.6995890494277,116.24176657596982,3,3
full_o2o_iql,Full O2O-IQL,6898,-3625.148236647599,500.4704948744548,3,3
full_o2o_iql,Full O2O-IQL,7056,-3641.752032302779,537.2726635005965,3,3
full_o2o_iql,Full O2O-IQL,7094,-3656.8657296185097,549.1980723152407,3,3
full_o2o_iql,Full O2O-IQL,7112,-3664.5349886121553,554.1843294653372,3,3
full_o2o_iql,Full O2O-IQL,7250,-3693.2721427179968,561.7538204455503,3,3
full_o2o_iql,Full O2O-IQL,7267,-3697.0513464518135,563.1589920730756,3,3
full_o2o_iql,Full O2O-IQL,7374,-3730.1607007155485,560.1317152150498,3,3
full_o2o_iql,Full O2O-IQL,7428,-3700.1012605546966,540.4054078566162,3,3
full_o2o_iql,Full O2O-IQL,7544,-3557.3980549115718,423.410779327382,3,3
full_o2o_iql,Full O2O-IQL,7646,-3504.3686296281435,413.9508046053747,3,3
full_o2o_iql,Full O2O-IQL,7662,-3486.621839914306,425.4185064898603,3,3
full_o2o_iql,Full O2O-IQL,7815,-3382.943114153945,525.858965888496,3,3
full_o2o_iql,Full O2O-IQL,7914,-3188.6784224462244,747.0934883150236,3,3
full_o2o_iql,Full O2O-IQL,7931,-3158.805070986069,790.2333915726077,3,3
full_o2o_iql,Full O2O-IQL,7950,-3114.1161057936843,837.2550583767372,3,3
full_o2o_iql,Full O2O-IQL,8094,-2854.905391831338,1095.6053845138008,3,3
full_o2o_iql,Full O2O-IQL,8105,-2843.1779564550325,1115.5297442835802,3,3
full_o2o_iql,Full O2O-IQL,8265,-2844.8758093627334,1194.3503891279522,3,3
full_o2o_iql,Full O2O-IQL,8334,-2846.20419991955,1228.4892687072274,3,3
full_o2o_iql,Full O2O-IQL,8375,-2817.114331385764,1284.9356043308212,3,3
full_o2o_iql,Full O2O-IQL,8585,-2606.851574055742,1503.9232459810173,3,3
full_o2o_iql,Full O2O-IQL,8586,-2606.737147187661,1503.8599982948942,3,3
full_o2o_iql,Full O2O-IQL,8646,-2603.440036613881,1500.409207665426,3,3
full_o2o_iql,Full O2O-IQL,8777,-2502.7918503549176,1385.4449199383398,3,3
full_o2o_iql,Full O2O-IQL,8827,-2464.316655912164,1342.9281424532949,3,3
full_o2o_iql,Full O2O-IQL,8883,-2405.0195988045493,1292.4281828293751,3,3
full_o2o_iql,Full O2O-IQL,8974,-2424.141851545912,1339.3992007285387,3,3
full_o2o_iql,Full O2O-IQL,8976,-2425.0522862171347,1339.8497566074636,3,3
full_o2o_iql,Full O2O-IQL,9167,-2566.637399069648,1395.0545643119463,3,3
full_o2o_iql,Full O2O-IQL,9286,-2689.9268044465866,1433.1835832540621,3,3
full_o2o_iql,Full O2O-IQL,9441,-2643.481699970402,1237.5989462660496,3,3
full_o2o_iql,Full O2O-IQL,9513,-2605.438188141971,1174.3406785613395,3,3
full_o2o_iql,Full O2O-IQL,9550,-2595.1401192728486,1153.7227858503602,3,3
full_o2o_iql,Full O2O-IQL,9612,-2593.0627440454737,1127.2878359864262,3,3
full_o2o_iql,Full O2O-IQL,9768,-2585.8402065973914,1089.93374244972,3,3
full_o2o_iql,Full O2O-IQL,9850,-2631.0246287110376,1119.8853130129644,3,3
full_o2o_iql,Full O2O-IQL,9895,-2658.3602460413813,1133.752402565399,3,3
full_o2o_iql,Full O2O-IQL,9965,-2663.486544810198,1128.6150079570116,3,3
full_o2o_iql,Full O2O-IQL,10105,-2638.322690136009,1094.7287185848445,3,3
full_o2o_iql,Full O2O-IQL,10207,-2613.89192683015,1079.602842205261,3,3
full_o2o_iql,Full O2O-IQL,10208,-2613.7832914884834,1079.5380320625636,3,3
full_o2o_iql,Full O2O-IQL,10220,-2580.299672046861,1053.5408219897754,3,3
full_o2o_iql,Full O2O-IQL,10379,-2134.489700161915,870.2770286449631,3,3
full_o2o_iql,Full O2O-IQL,10423,-2137.073796466744,865.2391144447928,3,3
full_o2o_iql,Full O2O-IQL,10542,-2142.090818999291,855.325565284859,3,3
full_o2o_iql,Full O2O-IQL,10570,-2117.658479461372,823.0909963516592,3,3
full_o2o_iql,Full O2O-IQL,10775,-1912.8634998938176,667.4479634848082,3,3
full_o2o_iql,Full O2O-IQL,10797,-1888.4968286147148,655.4478162909852,3,3
full_o2o_iql,Full O2O-IQL,10812,-1869.2360185107912,646.4465000010131,3,3
full_o2o_iql,Full O2O-IQL,10889,-1822.2206892041468,539.0714343216857,3,3
full_o2o_iql,Full O2O-IQL,10992,-1871.5594028938824,464.0053115589207,3,3
full_o2o_iql,Full O2O-IQL,11099,-1901.298624955503,365.56045476831673,3,3
full_o2o_iql,Full O2O-IQL,11114,-1909.0083757415548,355.24828681175575,3,3
full_o2o_iql,Full O2O-IQL,11215,-1964.6186943680489,288.2042646269257,3,3
full_o2o_iql,Full O2O-IQL,11297,-1987.7063284749913,264.4151120380135,3,3
full_o2o_iql,Full O2O-IQL,11390,-1947.5074125154842,248.2607322068519,3,3
full_o2o_iql,Full O2O-IQL,11557,-1800.6972664266261,244.65025184854193,3,3
full_o2o_iql,Full O2O-IQL,11618,-1786.4265612191273,227.29736264034776,3,3
full_o2o_iql,Full O2O-IQL,11716,-1788.517038153853,236.81771938719854,3,3
full_o2o_iql,Full O2O-IQL,11779,-1778.3868392615939,239.1315100326498,3,3
full_o2o_iql,Full O2O-IQL,11830,-1779.441151463266,247.46380999432455,3,3
full_o2o_iql,Full O2O-IQL,12026,-1707.099218526101,387.367479293562,3,3
full_o2o_iql,Full O2O-IQL,12071,-1712.051428658806,389.0617172690517,3,3
full_o2o_iql,Full O2O-IQL,12081,-1707.8165547101216,386.1877635250014,3,3
full_o2o_iql,Full O2O-IQL,12212,-1644.3325753814997,353.6296506256848,3,3
full_o2o_iql,Full O2O-IQL,12240,-1667.5117842289553,360.3239215360631,3,3
full_o2o_iql,Full O2O-IQL,12263,-1680.8294177513287,362.5557661455227,3,3
full_o2o_iql,Full O2O-IQL,12402,-1764.2476853933083,421.90446893913673,3,3
full_o2o_iql,Full O2O-IQL,12513,-1858.0609820677291,514.8832998151358,3,3
full_o2o_iql,Full O2O-IQL,12522,-1865.6684115278174,522.966955483434,3,3
