variant,label,step,mean_reward,std_reward_across_seeds,n_seeds,n_points
full_o2o_iql,Full O2O-IQL,169,-9.088027699934642,0.0,1,1
full_o2o_iql,Full O2O-IQL,217,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,288,-147.86377829795205,0.0,1,1
full_o2o_iql,Full O2O-IQL,356,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,489,-542.9241138318102,0.0,1,1
full_o2o_iql,Full O2O-IQL,533,-116.22401062944735,0.0,1,1
full_o2o_iql,Full O2O-IQL,667,-2996.902953314004,0.0,1,1
full_o2o_iql,Full O2O-IQL,736,-142.13724032159388,0.0,1,1
full_o2o_iql,Full O2O-IQL,856,-2.8623762983054775,0.0,1,1
full_o2o_iql,Full O2O-IQL,914,-361.2512191811246,0.0,1,1
full_o2o_iql,Full O2O-IQL,1116,-1303.5037868180477,0.0,1,1
full_o2o_iql,Full O2O-IQL,1151,-104.13646202349653,0.0,1,1
full_o2o_iql,Full O2O-IQL,1233,-6517.805750448303,0.0,1,1
full_o2o_iql,Full O2O-IQL,1366,-90.23416344901776,0.0,1,1
full_o2o_iql,Full O2O-IQL,1389,-16.472963253295333,0.0,1,1
full_o2o_iql,Full O2O-IQL,1718,-4677.501142972018,0.0,1,1
full_o2o_iql,Full O2O-IQL,1727,-26790.907266771163,0.0,1,1
full_o2o_iql,Full O2O-IQL,1850,-12010.146140715346,0.0,1,1
full_o2o_iql,Full O2O-IQL,1923,-1051.035109931698,0.0,1,1
full_o2o_iql,Full O2O-IQL,2004,-393.64095217386625,0.0,1,1
full_o2o_iql,Full O2O-IQL,2166,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,2173,-202.7476840340214,0.0,1,1
full_o2o_iql,Full O2O-IQL,2196,-4968.207191952222,0.0,1,1
full_o2o_iql,Full O2O-IQL,2446,-415.28564570268094,0.0,1,1
full_o2o_iql,Full O2O-IQL,2496,-1566.8937246297855,0.0,1,1
full_o2o_iql,Full O2O-IQL,2524,-8175.639115042103,0.0,1,1
full_o2o_iql,Full O2O-IQL,2771,-5092.510281932143,0.0,1,1
full_o2o_iql,Full O2O-IQL,2822,-963.3606892282612,0.0,1,1
full_o2o_iql,Full O2O-IQL,2937,-11059.528050545612,0.0,1,1
full_o2o_iql,Full O2O-IQL,3096,-12.764241221997281,0.0,1,1
full_o2o_iql,Full O2O-IQL,3184,-14472.932564831484,0.0,1,1
full_o2o_iql,Full O2O-IQL,3277,-3355.5314277707903,0.0,1,1
full_o2o_iql,Full O2O-IQL,3438,-95.85000000000002,0.0,1,1
full_o2o_iql,Full O2O-IQL,3545,-11284.376304670051,0.0,1,1
full_o2o_iql,Full O2O-IQL,3601,-11483.690229713142,0.0,1,1
full_o2o_iql,Full O2O-IQL,3827,-2644.8484215132034,0.0,1,1
full_o2o_iql,Full O2O-IQL,3910,-8852.84829177465,0.0,1,1
full_o2o_iql,Full O2O-IQL,3924,-2185.9008279969435,0.0,1,1
full_o2o_iql,Full O2O-IQL,4019,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,4055,-112.06005944573707,0.0,1,1
full_o2o_iql,Full O2O-IQL,4346,-3728.4030913031543,0.0,1,1
full_o2o_iql,Full O2O-IQL,4393,-13527.664047160613,0.0,1,1
full_o2o_iql,Full O2O-IQL,4455,-3965.298834192767,0.0,1,1
full_o2o_iql,Full O2O-IQL,4531,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,4590,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,4596,-2545.424444252879,0.0,1,1
full_o2o_iql,Full O2O-IQL,4700,-14.149999999999999,0.0,1,1
full_o2o_iql,Full O2O-IQL,4884,-1129.925831629802,0.0,1,1
full_o2o_iql,Full O2O-IQL,4984,-14251.44033337065,0.0,1,1
full_o2o_iql,Full O2O-IQL,5120,-7674.192171007847,0.0,1,1
full_o2o_iql,Full O2O-IQL,5243,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,5378,-27559.260037367527,0.0,1,1
full_o2o_iql,Full O2O-IQL,5460,-3932.7952056463146,3772.7627257109198,2,2
full_o2o_iql,Full O2O-IQL,5576,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,5605,-632.1435739419752,0.0,1,1
full_o2o_iql,Full O2O-IQL,5701,-6.829723650086791,0.0,1,1
full_o2o_iql,Full O2O-IQL,5702,-498.6660666257704,0.0,1,1
full_o2o_iql,Full O2O-IQL,5716,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,5917,-1290.9334907503448,0.0,1,1
full_o2o_iql,Full O2O-IQL,5920,-181.41924625559818,0.0,1,1
full_o2o_iql,Full O2O-IQL,5935,-3.5618985005079224,0.0,1,1
full_o2o_iql,Full O2O-IQL,6083,-274.25,0.0,1,1
full_o2o_iql,Full O2O-IQL,6115,-722.390210875526,0.0,1,1
full_o2o_iql,Full O2O-IQL,6345,-11141.142244865423,0.0,1,1
full_o2o_iql,Full O2O-IQL,6488,-2928.2012767622864,0.0,1,1
full_o2o_iql,Full O2O-IQL,6492,-5844.497629528016,0.0,1,1
full_o2o_iql,Full O2O-IQL,6702,-1129.7390218402204,0.0,1,1
full_o2o_iql,Full O2O-IQL,6782,-54.67534569513572,0.0,1,1
full_o2o_iql,Full O2O-IQL,6819,-1512.8731830485929,0.0,1,1
full_o2o_iql,Full O2O-IQL,6898,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,7056,-282.16013741661345,0.0,1,1
full_o2o_iql,Full O2O-IQL,7094,-60.34999999999998,0.0,1,1
full_o2o_iql,Full O2O-IQL,7112,-5410.470826198265,0.0,1,1
full_o2o_iql,Full O2O-IQL,7250,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,7267,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,7374,-4303.424708832493,0.0,1,1
full_o2o_iql,Full O2O-IQL,7428,-32.37534923348767,0.0,1,1
full_o2o_iql,Full O2O-IQL,7544,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,7646,-2396.5562505543803,0.0,1,1
full_o2o_iql,Full O2O-IQL,7662,-859.83903147353,0.0,1,1
full_o2o_iql,Full O2O-IQL,7815,-0.7000000000000028,0.0,1,1
full_o2o_iql,Full O2O-IQL,7914,-1900.1620312168432,0.0,1,1
full_o2o_iql,Full O2O-IQL,7931,-1518.495635378915,0.0,1,1
full_o2o_iql,Full O2O-IQL,7950,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,8094,-268.20000000000005,0.0,1,1
full_o2o_iql,Full O2O-IQL,8105,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,8265,-198.09095808643798,0.0,1,1
full_o2o_iql,Full O2O-IQL,8334,-14.110651589347526,0.0,1,1
full_o2o_iql,Full O2O-IQL,8375,-6931.3913489319375,0.0,1,1
full_o2o_iql,Full O2O-IQL,8585,-172.08922621484157,0.0,1,1
full_o2o_iql,Full O2O-IQL,8586,-2085.387648706105,0.0,1,1
full_o2o_iql,Full O2O-IQL,8646,-778.6149185701552,0.0,1,1
full_o2o_iql,Full O2O-IQL,8777,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,8827,-2.2618213144678805,0.0,1,1
full_o2o_iql,Full O2O-IQL,8883,-226.24069539235057,0.0,1,1
full_o2o_iql,Full O2O-IQL,8974,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,8976,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,9167,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,9286,-12276.282616810366,0.0,1,1
full_o2o_iql,Full O2O-IQL,9441,-14507.865746647867,0.0,1,1
full_o2o_iql,Full O2O-IQL,9513,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,9550,-10514.225300568527,0.0,1,1
full_o2o_iql,Full O2O-IQL,9612,-155.4317480724489,0.0,1,1
full_o2o_iql,Full O2O-IQL,9768,-2.4221628991817923,0.0,1,1
full_o2o_iql,Full O2O-IQL,9850,-193.69084354526075,0.0,1,1
full_o2o_iql,Full O2O-IQL,9895,-10966.940292621977,0.0,1,1
full_o2o_iql,Full O2O-IQL,9965,-223.02721648942475,0.0,1,1
full_o2o_iql,Full O2O-IQL,10105,-899.4204937953274,0.0,1,1
full_o2o_iql,Full O2O-IQL,10207,-329.18356736823563,0.0,1,1
full_o2o_iql,Full O2O-IQL,10208,-1046.8911044572833,0.0,1,1
full_o2o_iql,Full O2O-IQL,10220,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,10379,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,10423,-4.510884370505465,0.0,1,1
full_o2o_iql,Full O2O-IQL,10542,-470.6203925716653,0.0,1,1
full_o2o_iql,Full O2O-IQL,10570,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,10775,-20.254818787167963,0.0,1,1
full_o2o_iql,Full O2O-IQL,10797,-5058.212809524206,0.0,1,1
full_o2o_iql,Full O2O-IQL,10812,-641.1495469405512,0.0,1,1
full_o2o_iql,Full O2O-IQL,10889,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,10992,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,11099,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,11114,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,11215,-12530.463979506334,0.0,1,1
full_o2o_iql,Full O2O-IQL,11297,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,11390,-1332.909630472903,0.0,1,1
full_o2o_iql,Full O2O-IQL,11557,-0.7560460548738206,0.0,1,1
full_o2o_iql,Full O2O-IQL,11618,-209.84906362116243,0.0,1,1
full_o2o_iql,Full O2O-IQL,11716,-7422.239778782104,0.0,1,1
full_o2o_iql,Full O2O-IQL,11779,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,11830,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,12026,-15.74817758885159,0.0,1,1
full_o2o_iql,Full O2O-IQL,12071,-717.6629300219129,0.0,1,1
full_o2o_iql,Full O2O-IQL,12081,-1479.1625062766238,0.0,1,1
full_o2o_iql,Full O2O-IQL,12212,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,12240,-34.9433489073233,0.0,1,1
full_o2o_iql,Full O2O-IQL,12263,-290.16890523104786,0.0,1,1
full_o2o_iql,Full O2O-IQL,12402,-13.809854378872046,0.0,1,1
full_o2o_iql,Full O2O-IQL,12513,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,12522,-677.4340199748764,0.0,1,1
full_o2o_iql,Full O2O-IQL,12637,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,12672,-23043.625327322952,0.0,1,1
full_o2o_iql,Full O2O-IQL,12802,-806.1092554287446,0.0,1,1
full_o2o_iql,Full O2O-IQL,12832,-215.99588625182196,0.0,1,1
full_o2o_iql,Full O2O-IQL,12910,-241.1165121112045,0.0,1,1
full_o2o_iql,Full O2O-IQL,13115,-615.0792747806354,0.0,1,1
full_o2o_iql,Full O2O-IQL,13174,-717.4985432798354,0.0,1,1
full_o2o_iql,Full O2O-IQL,13370,-23334.437288869274,0.0,1,1
full_o2o_iql,Full O2O-IQL,13389,-915.1467978123445,0.0,1,1
full_o2o_iql,Full O2O-IQL,13454,-3896.9129590225325,0.0,1,1
full_o2o_iql,Full O2O-IQL,13608,-286.32468725452827,0.0,1,1
full_o2o_iql,Full O2O-IQL,13627,-144.220643740378,0.0,1,1
full_o2o_iql,Full O2O-IQL,13692,-42.012670508832954,0.0,1,1
full_o2o_iql,Full O2O-IQL,13724,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,13861,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,13872,-10.939545140844999,0.0,1,1
full_o2o_iql,Full O2O-IQL,13898,-351.218572683993,0.0,1,1
full_o2o_iql,Full O2O-IQL,14097,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,14296,-25508.03745628831,0.0,1,1
full_o2o_iql,Full O2O-IQL,14306,-22.655986007219795,0.0,1,1
full_o2o_iql,Full O2O-IQL,14371,-7108.760522628918,0.0,1,1
full_o2o_iql,Full O2O-IQL,14635,-3602.741320754712,0.0,1,1
full_o2o_iql,Full O2O-IQL,14825,-8411.191480584595,0.0,1,1
full_o2o_iql,Full O2O-IQL,14841,-7711.828978826361,0.0,1,1
full_o2o_iql,Full O2O-IQL,14960,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,14981,-2605.985475176574,0.0,1,1
full_o2o_iql,Full O2O-IQL,15098,-25.309452383384127,0.0,1,1
full_o2o_iql,Full O2O-IQL,15225,-3365.229558593731,0.0,1,1
full_o2o_iql,Full O2O-IQL,15309,-7622.9214531534435,0.0,1,1
full_o2o_iql,Full O2O-IQL,15531,-2698.9375990321237,0.0,1,1
full_o2o_iql,Full O2O-IQL,15635,-15577.845337955254,0.0,1,1
full_o2o_iql,Full O2O-IQL,15771,-1490.6956267702512,0.0,1,1
full_o2o_iql,Full O2O-IQL,15772,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,15798,-6096.277920716251,0.0,1,1
full_o2o_iql,Full O2O-IQL,15962,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,15991,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,16066,-700.6146068836983,0.0,1,1
full_o2o_iql,Full O2O-IQL,16204,-152.9579148909114,0.0,1,1
full_o2o_iql,Full O2O-IQL,16307,-186.43557581205,0.0,1,1
full_o2o_iql,Full O2O-IQL,16391,-1809.3550015589644,0.0,1,1
full_o2o_iql,Full O2O-IQL,16420,-36.219819174177346,0.0,1,1
full_o2o_iql,Full O2O-IQL,16686,-490.0551232506366,0.0,1,1
full_o2o_iql,Full O2O-IQL,16706,-10359.49363529862,0.0,1,1
full_o2o_iql,Full O2O-IQL,16751,-3082.5564105376775,0.0,1,1
full_o2o_iql,Full O2O-IQL,16955,-360.6017908260843,0.0,1,1
full_o2o_iql,Full O2O-IQL,16956,-53.14429039707731,0.0,1,1
full_o2o_iql,Full O2O-IQL,17031,-965.6448669542408,0.0,1,1
full_o2o_iql,Full O2O-IQL,17159,-23.139759282646466,0.0,1,1
full_o2o_iql,Full O2O-IQL,17272,-8509.028040327648,0.0,1,1
full_o2o_iql,Full O2O-IQL,17400,-4185.626273737621,0.0,1,1
full_o2o_iql,Full O2O-IQL,17445,-469.70435157829036,0.0,1,1
full_o2o_iql,Full O2O-IQL,17582,0.0,0.0,1,1
full_o2o_iql,Full O2O-IQL,17672,-3157.012347758971,0.0,1,1
full_o2o_iql,Full O2O-IQL,17692,-364.22664704482276,0.0,1,1
full_o2o_iql,Full O2O-IQL,17903,-288.7481337774577,0.0,1,1
full_o2o_iql,Full O2O-IQL,17982,-1822.1103571874555,0.0,1,1
full_o2o_iql,Full O2O-IQL,18038,-2684.404181849505,0.0,1,1
