variant,label,step,mean_reward,std_reward_across_seeds,n_seeds
full_o2o_iql,Full O2O-IQL,10000,-3464.406429490901,114.27915718411953,3
full_o2o_iql,Full O2O-IQL,20000,-3453.9431445730693,385.40236738613277,3
full_o2o_iql,Full O2O-IQL,30000,-2872.510965234294,272.22791302477384,3
full_o2o_iql,Full O2O-IQL,40000,-2829.5033027721524,182.5587707582536,3
full_o2o_iql,Full O2O-IQL,50000,-2729.6805039297324,226.8801862230503,3
full_o2o_iql,Full O2O-IQL,60000,-3234.8423817670086,812.9432658317288,3
full_o2o_iql,Full O2O-IQL,70000,-2766.1152744685155,178.15474927391244,3
full_o2o_iql,Full O2O-IQL,80000,-3303.5234235723105,387.22802225945605,3
full_o2o_iql,Full O2O-IQL,90000,-2619.7243576222445,287.34500320298673,3
full_o2o_iql,Full O2O-IQL,100000,-2608.7763107915894,245.812366006031,3
full_o2o_iql,Full O2O-IQL,110000,-2620.0480112044097,199.0568901733197,3
full_o2o_iql,Full O2O-IQL,120000,-2431.050100742929,208.1390727829973,3
full_o2o_iql,Full O2O-IQL,130000,-2375.6200314972434,187.88467623970936,3
full_o2o_iql,Full O2O-IQL,140000,-2290.318239531914,113.55541993086145,3
full_o2o_iql,Full O2O-IQL,150000,-2374.83665385876,1.2799910139466169,3
full_o2o_iql,Full O2O-IQL,160000,-2076.665940324027,132.6365858121368,3
full_o2o_iql,Full O2O-IQL,170000,-2365.2509446531076,252.3014829724054,3
full_o2o_iql,Full O2O-IQL,180000,-2293.542322215634,179.58208378348445,3
full_o2o_iql,Full O2O-IQL,190000,-2203.7649186339377,114.98136760632319,3
full_o2o_iql,Full O2O-IQL,200000,-2316.412793741554,64.01130002038997,3
full_o2o_iql,Full O2O-IQL,210000,-2169.70908085553,60.363635665440064,3
full_o2o_iql,Full O2O-IQL,220000,-2181.6331203838395,150.50430827954497,3
full_o2o_iql,Full O2O-IQL,230000,-2204.0934010833917,10.268350949890472,3
full_o2o_iql,Full O2O-IQL,240000,-2319.4527569654215,116.98764940966743,3
full_o2o_iql,Full O2O-IQL,250000,-2045.4989699699927,237.0324828206336,3
full_o2o_iql,Full O2O-IQL,260000,-2006.5399965730824,142.9626197163563,3
full_o2o_iql,Full O2O-IQL,270000,-1900.5364395751137,37.18788678943357,3
full_o2o_iql,Full O2O-IQL,280000,-2002.2475919721464,51.93962401342173,3
full_o2o_iql,Full O2O-IQL,290000,-2047.5457186393005,90.490667889268,3
full_o2o_iql,Full O2O-IQL,300000,-2084.2368825798158,192.88245044957162,3
full_o2o_iql,Full O2O-IQL,310000,-2145.4656660930436,296.559279543881,3
full_o2o_iql,Full O2O-IQL,320000,-1914.160128143052,126.3834583410599,3
full_o2o_iql,Full O2O-IQL,330000,-2054.704458768019,101.3322171328719,3
full_o2o_iql,Full O2O-IQL,340000,-2081.4365071571683,179.5716595046601,3
full_o2o_iql,Full O2O-IQL,350000,-2406.8535921591642,686.8906458371612,3
full_o2o_iql,Full O2O-IQL,360000,-2192.424458776639,271.9580272162771,3
full_o2o_iql,Full O2O-IQL,370000,-2099.2062376061804,233.1942731363164,3
full_o2o_iql,Full O2O-IQL,380000,-1990.6298454258279,251.7385093766539,3
full_o2o_iql,Full O2O-IQL,390000,-1962.750479422695,126.44022468633543,3
full_o2o_iql,Full O2O-IQL,400000,-1890.9286368857581,158.4980779814925,3
full_o2o_iql,Full O2O-IQL,410000,-1910.6631038784824,205.1688960619059,3
full_o2o_iql,Full O2O-IQL,420000,-1741.100009610677,34.242938423579965,3
full_o2o_iql,Full O2O-IQL,430000,-2006.1198707486883,176.92577753012847,3
full_o2o_iql,Full O2O-IQL,440000,-1949.9668549486732,56.52482760681501,3
full_o2o_iql,Full O2O-IQL,450000,-1799.7318144289104,50.70779484280666,3
full_o2o_iql,Full O2O-IQL,460000,-1930.2540898480117,117.89195767614683,3
full_o2o_iql,Full O2O-IQL,470000,-1850.2499261173882,185.04569835198546,3
full_o2o_iql,Full O2O-IQL,480000,-1795.4135224251747,112.76967226963228,3
full_o2o_iql,Full O2O-IQL,490000,-1947.4961229725238,49.00147500629997,3
full_o2o_iql,Full O2O-IQL,500000,-1932.5430622458678,170.77614142968224,3
no_anneal,No anneal,50000,-2811.8907308515336,181.74632811742447,3
no_anneal,No anneal,100000,-2522.098031029776,67.75225168334022,3
no_anneal,No anneal,150000,-2288.0737805671115,232.05846686958367,3
no_anneal,No anneal,200000,-2160.214582372517,149.30677112454774,3
no_dual_buffer,No dual buffer,50000,-2534.866505124284,292.9015189936586,3
no_dual_buffer,No dual buffer,100000,-2650.5332092416393,119.49765011426967,3
no_dual_buffer,No dual buffer,150000,-2115.060773609504,106.8942450241348,3
no_dual_buffer,No dual buffer,200000,-2227.7992617213863,257.05580815016634,3
no_offline,No offline,50000,-3052.607546504698,668.6884471617966,3
no_offline,No offline,100000,-2627.175094427348,159.9686525468883,3
no_offline,No offline,150000,-2315.9607414599955,150.89617160339043,3
no_offline,No offline,200000,-2690.966248397522,610.3666330036143,3
no_density_priority,No density priority,50000,-2589.3181586175892,10.272480540435868,3
no_density_priority,No density priority,100000,-2381.5336047624437,3.984619803595251,2
no_density_priority,No density priority,150000,-2482.106460872012,315.65404305795346,2
no_density_priority,No density priority,200000,-2165.0278512584473,93.08127391852145,2
